iter	Passed	Remaining
0	5	4916
1	10	4887
2	15	4803
3	20	4757
4	25	4750
5	30	4709
6	35	4724
7	41	4725
8	46	4710
9	51	4709
10	56	4703
11	61	4680
12	66	4680
13	71	4654
14	76	4651
15	81	4650
16	86	4637
17	91	4648
18	96	4649
19	102	4644
20	107	4656
21	112	4643
22	117	4631
23	123	4646
24	128	4642
25	133	4634
26	138	4632
27	143	4625
28	149	4631
29	154	4632
30	159	4623
31	164	4621
32	170	4621
33	175	4615
34	180	4603
35	184	4590
36	189	4584
37	195	4579
38	200	4570
39	204	4560
40	209	4544
41	214	4538
42	219	4534
43	224	4529
44	230	4525
45	235	4522
46	240	4521
47	245	4520
48	251	4516
49	256	4509
50	261	4504
51	266	4495
52	271	4495
53	276	4489
54	281	4478
55	286	4479
56	292	4478
57	297	4472
58	302	4471
59	307	4464
60	312	4455
61	317	4449
62	322	4442
63	328	4438
64	333	4433
65	338	4427
66	343	4425
67	348	4418
68	354	4419
69	359	4413
70	363	4403
71	369	4403
72	374	4399
73	379	4389
74	384	4385
75	389	4381
76	395	4376
77	400	4372
78	405	4366
79	410	4364
80	416	4360
81	420	4350
82	426	4348
83	431	4341
84	436	4336
85	441	4336
86	446	4329
87	451	4324
88	456	4318
89	461	4309
90	467	4306
91	472	4299
92	477	4293
93	482	4291
94	487	4284
95	492	4276
96	497	4273
97	502	4265
98	507	4261
99	512	4255
100	517	4248
101	523	4246
102	528	4242
103	533	4235
104	538	4231
105	543	4224
106	548	4220
107	553	4215
108	558	4208
109	563	4201
110	568	4194
111	573	4186
112	577	4178
113	582	4169
114	587	4162
115	591	4153
116	596	4146
117	601	4137
118	606	4131
119	611	4126
120	615	4118
121	620	4111
122	625	4102
123	630	4096
124	634	4088
125	639	4080
126	644	4072
127	648	4064
128	653	4058
129	658	4050
130	663	4045
131	668	4039
132	672	4031
133	677	4026
134	682	4019
135	687	4012
136	691	4004
137	696	3996
138	701	3990
139	705	3982
140	710	3976
141	715	3969
142	720	3963
143	725	3957
144	730	3952
145	735	3950
146	740	3945
147	746	3943
148	752	3942
149	757	3939
150	762	3934
151	768	3933
152	774	3933
153	780	3933
154	786	3931
155	792	3929
156	796	3923
157	801	3916
158	806	3910
159	811	3904
160	816	3900
161	823	3902
162	828	3897
163	834	3897
164	839	3893
165	844	3886
166	849	3881
167	854	3874
168	859	3868
169	864	3863
170	869	3858
171	874	3852
172	879	3846
173	883	3840
174	888	3834
175	893	3827
176	898	3821
177	903	3816
178	908	3810
179	913	3804
180	917	3797
181	922	3790
182	927	3785
183	932	3779
184	937	3773
185	941	3766
186	946	3760
187	951	3754
188	956	3748
189	960	3741
190	965	3735
191	970	3728
192	974	3722
193	979	3717
194	984	3710
195	989	3704
196	994	3699
197	998	3692
198	1003	3687
199	1008	3680
200	1013	3675
201	1018	3669
202	1022	3662
203	1027	3657
204	1032	3650
205	1037	3647
206	1042	3641
207	1047	3635
208	1052	3629
209	1056	3623
210	1061	3617
211	1066	3612
212	1071	3606
213	1076	3600
214	1081	3595
215	1086	3590
216	1091	3584
217	1095	3578
218	1100	3573
219	1105	3566
220	1109	3561
221	1114	3555
222	1119	3549
223	1124	3544
224	1129	3537
225	1134	3533
226	1139	3527
227	1143	3521
228	1148	3516
229	1153	3509
230	1158	3504
231	1162	3498
232	1167	3492
233	1172	3487
234	1177	3480
235	1181	3475
236	1186	3470
237	1191	3465
238	1196	3459
239	1201	3453
240	1206	3448
241	1210	3442
242	1215	3436
243	1220	3430
244	1225	3425
245	1229	3419
246	1234	3413
247	1239	3408
248	1243	3402
249	1248	3396
250	1253	3390
251	1258	3385
252	1263	3379
253	1267	3373
254	1272	3368
255	1277	3362
256	1282	3357
257	1287	3352
258	1292	3348
259	1297	3343
260	1302	3338
261	1307	3332
262	1312	3327
263	1316	3321
264	1321	3316
265	1326	3311
266	1331	3305
